,loss,dice_coef,val_loss,val_dice_coef
0,0.7255655527114868,0.3120866119861603,0.7781156301498413,0.21304994821548462
1,0.6639097332954407,0.3893492817878723,0.7415350079536438,0.2738516926765442
2,0.6393353343009949,0.41628921031951904,0.5887431502342224,0.46985578536987305
3,0.6150078773498535,0.4466214179992676,0.6191744804382324,0.44311609864234924
4,0.604570746421814,0.4570860266685486,0.7370878458023071,0.3635266125202179
5,0.6094716787338257,0.451892226934433,0.9024677872657776,0.15057286620140076
6,0.600988507270813,0.46111831068992615,0.5914601683616638,0.4962926506996155
7,0.586898922920227,0.4777950942516327,0.621452271938324,0.47765281796455383
8,0.5922988057136536,0.47215506434440613,0.5816535949707031,0.5044605135917664
9,0.5824401378631592,0.48319804668426514,0.6682713031768799,0.4273848831653595
10,0.5710613131523132,0.49581849575042725,0.5865757465362549,0.48928478360176086
11,0.5664775371551514,0.5000340342521667,0.6523373126983643,0.41188913583755493
12,0.5649831891059875,0.5012577176094055,0.5860933065414429,0.509742259979248
13,0.5689818263053894,0.4985013008117676,0.6931447982788086,0.40046343207359314
14,0.5586442351341248,0.5085775852203369,0.5619855523109436,0.48482397198677063
15,0.5531473755836487,0.5131717324256897,0.6117900013923645,0.4830001890659332
16,0.5520167350769043,0.5159985423088074,0.5606752634048462,0.5060781240463257
17,0.547132670879364,0.5218223929405212,0.5609621405601501,0.5167204141616821
18,0.5540921688079834,0.513150691986084,0.6016426086425781,0.4608043134212494
19,0.5432100892066956,0.5271420478820801,0.557682454586029,0.5260679125785828
20,0.544338583946228,0.5247842073440552,0.557234525680542,0.5243300199508667
21,0.5405182242393494,0.5312126278877258,0.5648802518844604,0.5012403130531311
22,0.5328594446182251,0.5346033573150635,0.5514988303184509,0.5201235413551331
23,0.5406808853149414,0.5253280401229858,0.5453290939331055,0.5097020268440247
24,0.5327652096748352,0.5375654101371765,0.5921842455863953,0.5054826140403748
25,0.5313563346862793,0.5386530756950378,0.5594327449798584,0.5220456719398499
26,0.5257180333137512,0.5452547669410706,0.5538758039474487,0.5282507538795471
27,0.5258256196975708,0.5472205281257629,0.5467178225517273,0.5148725509643555
28,0.5208668112754822,0.5500234365463257,0.5498639941215515,0.5291206240653992
29,0.517157793045044,0.5535025000572205,0.5437226891517639,0.5380750298500061
